name,description,status,assignee,start,end,Estimate,priority
Mes 1: Análisis técnico y diseño funcional-operativo,,,,2/11/2026,3/11/2026,,High
Revisión técnica del diseño funcional existente,,,,2/11/2026,2/18/2026,,
Análisis del diseño funcional aprobado para Guianza Turística (Continente).,,Not Started,,2/11/2026,2/11/2026,,
Identificación de componentes reutilizables de SITURIN.,,Not Started,,2/12/2026,2/12/2026,,
"Identificación de funcionalidades ya existentes vs nuevas.
",,Not Started,,2/13/2026,2/13/2026,,
"Identificación de puntos críticos de reglas de negocio.
",,Not Started,,2/18/2026,2/18/2026,,
Adecuación y extensión de la base de datos,,,,2/19/2026,2/26/2026,,
"Revisión del esquema actual de la  base de datos SITURIN.
",,Not Started,,2/19/2026,2/19/2026,,
"Identificación de: Nuevas entidades requeridas (Guías, Clasificaciones, Credenciales, Idiomas, Modalidades, Trámites) y Campos adicionales sobre entidades existentes.",,Not Started,,2/20/2026,2/20/2026,,
Análisis de relaciones: Registro de Turismo ↔ Guías y Guías ↔ Clasificaciones / Credenciales,,Not Started,,2/23/2026,2/23/2026,,
Definición de catálogos,,Not Started,,2/24/2026,2/24/2026,,
Ajustes de normalización y consistencia,,Not Started,,2/25/2026,2/25/2026,,
"Definición de auditoría básica (fechas, estados, trazabilidad)",,Not Started,,2/26/2026,2/26/2026,,
Planificación de migraciones y datos históricos,,,,2/27/2026,3/3/2026,,
Análisis de datos provenientes de Plataforma SIETE y Catastro actual de guías,,Not Started,,2/27/2026,2/27/2026,,
Definición de estrategia de Migración y Homologación de clasificacionesAn,,Not Started,,3/2/2026,3/2/2026,,
Identificación de datos obligatorios y faltantes,,Not Started,,3/3/2026,3/3/2026,,
Definición técnica de integraciones,,Not Started,,3/4/2026,3/6/2026,,
"Análisis de integraciones existentes (SRI, Registro Civil, Ministerio de Educación)",,Not Started,,3/4/2026,3/4/2026,,
"Análisis de integraciones existentes (SRI, Registro Civil, Ministerio de Educación)",,Not Started,,3/5/2026,3/5/2026,,
Definición de integración de solo lectura con SIETE,,Not Started,,3/6/2026,3/6/2026,,
Entregables,,,,3/9/2026,3/11/2026,,
Modelo de datos ajustado y validado,,Not Started,,3/9/2026,3/9/2026,,
Catálogos iniciales cargados,,Not Started,,3/10/2026,3/10/2026,,
Plataforma preparada para desarrollo funcional,,Not Started,,3/11/2026,3/11/2026,,
Mes 2: Desarrollo base del módulo de Guianza (Cliente Externo),,,,3/12/2026,4/10/2026,,
Registro y envío de trámites,,,,3/12/2026,4/10/2026,,
Implementación del menú y navegación de Guianza,,Not Started,,3/12/2026,3/13/2026,,
Listado de establecimientos por RUC,,Not Started,,3/16/2026,3/20/2026,,
Creación de trámites,,Not Started,,3/23/2026,3/27/2026,,
Formularios dinámicos,,Not Started,,3/30/2026,4/2/2026,,
Validaciones básicas por tipo de trámite,,Not Started,,4/6/2026,4/10/2026,,
Mes 3: Reglas de negocio y clasificaciones,,,,4/13/2026,5/11/2026,,
Implementar la complejidad normativa del sistema,,,,4/13/2026,5/11/2026,,
"Implementación de Clasificaciones de guías, Modalidades de aventura, Idiomas entre otros",,Not Started,,4/13/2026,4/17/2026,,
Homologación de datos provenientes de SIETE,,Not Started,,4/20/2026,4/24/2026,,
"Reglas de vigencia de Caducidad, Renovación, Inactivación automática",,Not Started,,4/27/2026,4/30/2026,,
Generación de identificadores de trámite,,Not Started,,5/4/2026,5/8/2026,,
Simulador normativo,,Not Started,,5/6/2026,5/11/2026,,
Mes 4: Cliente Interno (Técnico de Acreditación),,,,5/12/2026,6/11/2026,,
Revisión técnica y control del trámite,,,,5/12/2026,6/11/2026,,
"Bandeja del Técnico: Asignación automática, Filtros y búsquedas",,Not Started,,5/12/2026,5/15/2026,,
Vista integral del expediente digital,,Not Started,,5/18/2026,5/21/2026,,
Revisión de requisitos,,Not Started,,5/22/2026,5/22/2026,,
Aprobación o rechazo con observaciones,,Not Started,,5/26/2026,5/29/2026,,
Notificaciones automáticas al ciudadano,,Not Started,,6/1/2026,6/5/2026,,
Cálculo de tiempos de trámite,,Not Started,,6/8/2026,6/11/2026,,
Mes 5: Aprobación final y generación de documentos,,,,6/12/2026,7/10/2026,,
Ciclo administrativo del trámite,,,,6/12/2026,7/10/2026,,
Bandeja del Aprobador,,Not Started,,6/12/2026,6/19/2026,,
Aprobación final del trámite,,Not Started,,6/17/2026,6/19/2026,,
Actualización del Catastro Nacional de Guías,,Not Started,,6/22/2026,6/24/2026,,
"Generación de Certificado de Registro, Certificado de Inactivación, Credencial",,Not Started,,6/25/2026,6/29/2026,,
Código QR validable,,Not Started,,6/30/2026,7/2/2026,,
Historial de trámites por guía,,Not Started,,7/3/2026,7/10/2026,,
"Mes 6: Pruebas, ajustes y puesta en ambiente de pruebas",,,,7/13/2026,8/11/2026,,
"Estabilidad, cumplimiento y adopción",,,,7/13/2026,8/11/2026,,
Pruebas funcionales integrales,,Not Started,,7/13/2026,7/31/2026,,
Ajustes normativos finales,,Not Started,,8/3/2026,8/7/2026,,High
